#instrument     mjdstart    exp    flt flux   unc    sig
P200/CHIMERA    59971.27917  50.00 r   -4.48  4.10  -1.09 
P200/CHIMERA    59971.27974  50.00 r   -1.47  4.06  -0.36 
P200/CHIMERA    59971.28036  50.00 r    0.14  3.79   0.04 
P200/CHIMERA    59971.28094  50.00 r   -2.62  3.43  -0.76 
P200/CHIMERA    59971.28152  50.00 r   -2.59  3.10  -0.84 
P200/CHIMERA    59971.28210  50.00 r   -2.83  3.28  -0.86 
P200/CHIMERA    59971.28268  50.00 r   -1.54  3.22  -0.48 
P200/CHIMERA    59971.28326  50.00 r   -1.89  4.29  -0.44 
P200/CHIMERA    59971.28384  50.00 r    4.18  3.32   1.26 
P200/CHIMERA    59971.28442  50.00 r    2.56  3.83   0.67 
P200/CHIMERA    59971.28499  50.00 r    2.26  3.71   0.61 
P200/CHIMERA    59971.28557  50.00 r    5.46  3.35   1.63 
P200/CHIMERA    59971.28619  50.00 r   -1.52  3.74  -0.41 
P200/CHIMERA    59971.28677  50.00 r    0.28  3.83   0.07 
P200/CHIMERA    59971.28735  50.00 r    0.78  2.88   0.27 
P200/CHIMERA    59971.28793  50.00 r   -2.65  3.54  -0.75 
P200/CHIMERA    59971.28851  50.00 r    5.81  3.79   1.53 
P200/CHIMERA    59971.28909  50.00 r    2.37  3.81   0.62 
P200/CHIMERA    59971.28967  50.00 r    0.90  3.93   0.23 
P200/CHIMERA    59971.29024  50.00 r    3.53  4.41   0.80 
P200/CHIMERA    59971.29082  50.00 r   -0.03  3.95  -0.01 
P200/CHIMERA    59971.29140  50.00 r    0.79  3.78   0.21 
P200/CHIMERA    59971.29202  50.00 r    1.52  3.29   0.46 
P200/CHIMERA    59971.29260  50.00 r   -0.06  3.49  -0.02 
P200/CHIMERA    59971.29318  50.00 r   -0.21  3.34  -0.06 
P200/CHIMERA    59971.29376  50.00 r    1.07  3.51   0.30 
P200/CHIMERA    59971.29434  50.00 r   -5.48  3.40  -1.61 
P200/CHIMERA    59971.29492  50.00 r   -3.10  3.26  -0.95 
P200/CHIMERA    59971.29549  50.00 r    6.83  3.47   1.97 
P200/CHIMERA    59971.29607  50.00 r    5.29  3.69   1.43 
P200/CHIMERA    59971.29665  50.00 r    0.60  3.53   0.17 
P200/CHIMERA    59971.29723  50.00 r   -2.31  3.40  -0.68 
P200/CHIMERA    59971.29785  50.00 r   -2.39  3.87  -0.62 
