#inst           mjdstart     exp   flt flux   unc   sig
NTT/ULTRACAM    59933.14102  19.99 r   -0.91  1.33  -0.68 
NTT/ULTRACAM    59933.14125  19.99 u    4.03  2.28   1.77 
NTT/ULTRACAM    59933.14125  19.99 g   -0.88  0.91  -0.97 
NTT/ULTRACAM    59933.14125  19.99 r    1.50  1.29   1.16 
NTT/ULTRACAM    59933.14148  19.99 u    0.88  2.77   0.32 
NTT/ULTRACAM    59933.14148  19.99 g    0.35  1.09   0.32 
NTT/ULTRACAM    59933.14148  19.99 r    2.06  1.37   1.50 
NTT/ULTRACAM    59933.14171  19.99 u   -1.02  2.54  -0.40 
NTT/ULTRACAM    59933.14171  19.99 g   -0.38  0.96  -0.39 
NTT/ULTRACAM    59933.14171  19.99 r   -0.59  1.46  -0.40 
NTT/ULTRACAM    59933.14194  19.99 u   -0.35  2.76  -0.13 
NTT/ULTRACAM    59933.14194  19.99 g    0.14  1.03   0.14 
NTT/ULTRACAM    59933.14194  19.99 r   -0.14  1.20  -0.12 
NTT/ULTRACAM    59933.14218  19.99 u    2.31  2.45   0.94 
NTT/ULTRACAM    59933.14218  19.99 g    0.15  0.94   0.16 
NTT/ULTRACAM    59933.14218  19.99 r   -1.76  1.37  -1.28 
NTT/ULTRACAM    59933.14241  19.99 u    3.71  2.66   1.39 
NTT/ULTRACAM    59933.14241  19.99 g   -1.30  0.95  -1.36 
NTT/ULTRACAM    59933.14241  19.99 r   -1.97  1.38  -1.43 
NTT/ULTRACAM    59933.14264  19.99 u   -0.95  2.58  -0.37 
NTT/ULTRACAM    59933.14264  19.99 g    1.02  1.05   0.97 
NTT/ULTRACAM    59933.14264  19.99 r   -0.75  1.36  -0.55 
NTT/ULTRACAM    59933.14287  19.99 u   -3.36  2.43  -1.38 
NTT/ULTRACAM    59933.14287  19.99 g   -1.35  0.94  -1.43 
NTT/ULTRACAM    59933.14287  19.99 r   -0.61  1.32  -0.46 
NTT/ULTRACAM    59933.14310  19.99 u   -2.00  2.50  -0.80 
NTT/ULTRACAM    59933.14310  19.99 g    0.63  0.99   0.64 
NTT/ULTRACAM    59933.14310  19.99 r   -0.27  1.28  -0.21 
NTT/ULTRACAM    59933.14333  19.99 u   -2.06  2.53  -0.81 
NTT/ULTRACAM    59933.14333  19.99 g    0.19  1.00   0.19 
NTT/ULTRACAM    59933.14333  19.99 r   -0.45  1.25  -0.36 
NTT/ULTRACAM    59933.14357  19.99 u   -0.39  2.27  -0.17 
NTT/ULTRACAM    59933.14357  19.99 g    0.49  0.88   0.55 
NTT/ULTRACAM    59933.14357  19.99 r   -0.28  1.30  -0.21 
NTT/ULTRACAM    59933.14380  19.99 u    0.10  2.35   0.04 
NTT/ULTRACAM    59933.14380  19.99 g    0.20  0.90   0.23 
NTT/ULTRACAM    59933.14380  19.99 r   -1.43  1.37  -1.04 
NTT/ULTRACAM    59933.14403  19.99 u    0.05  2.45   0.02 
NTT/ULTRACAM    59933.14403  19.99 g   -0.94  0.96  -0.98 
