###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57795.318041 -17.631  0.827  -322  266 o  0   1.11  74.64332  -8.30110  1961.35  3487.03 3.97 3.78   6.8 -0.437 16.58 16.60 02a57795o0199o
57795.318610  16.942  4.918   607 2986 o  0   1.07  74.64332  -8.30110  8593.42  6923.11 3.46 3.42  64.8 -0.664 15.84 17.09 01a57795o0197o
57795.333851  18.045  1.574   220  346 o  0   1.37  74.64332  -8.30110  8614.33  6961.85 3.57 3.46  30.0 -0.786 17.35 18.47 01a57795o0225o
57795.348757 -18.873  6.414  -102  657 o  0   1.27  74.64332  -8.30110  8556.25  6885.14 3.79 3.58  17.6 -0.760 17.06 18.32 01a57795o0252o
57800.223656 -22.200  8.333    -5   40 o  0   1.13  74.64332  -8.30110  4423.62  5187.66 3.61 3.47 -21.4 -0.678 18.47 19.94 01a57800o0039o
57800.249529  19.280  0.565    70   40 o  0   1.22  74.64332  -8.30110  6104.82  5315.89 3.59 3.35  22.3 -0.625 18.65 20.42 01a57800o0042o
57800.263839 -19.252  0.512   -72   37 o  0   1.11  74.64332  -8.30110  6085.99  5433.08 3.64 3.50  36.3 -0.629 18.73 20.59 01a57800o0069o
57800.311725  23.201 11.400     2   22 o  0   0.93  74.64332  -8.30110  1189.71  4720.09 3.89 3.53  67.2 -0.438 19.37 21.02 02a57800o0036o
57800.322462  20.904  1.220    16   19 o  0   1.05  74.64332  -8.30110  1173.17  4680.49 3.90 3.60  66.6 -0.430 19.33 20.99 02a57800o0057o
57800.336264 -21.159  1.469   -12   18 o  0   1.33  74.64332  -8.30110  1232.91  4755.90 3.91 3.62  72.7 -0.429 19.26 20.87 02a57800o0083o
57800.352191 -20.837  1.273   -17   21 o  0   0.98  74.64332  -8.30110  1253.86  4637.52 3.82 3.54  78.2 -0.436 19.21 20.71 02a57800o0113o
57800.369194 -21.132  2.000   -13   26 o  0   1.04  74.64332  -8.30110  1214.84  4692.41 3.90 3.74  75.9 -0.418 18.95 20.35 02a57800o0145o
57804.320834 -20.996  1.303   -14   19 c  0   1.00  74.64332  -8.30110  1067.78  4851.72 3.99 3.79  70.6 -0.395 19.32 21.22 02a57804o0221c
57804.335191  20.975  1.957    15   29 c  0   1.00  74.64332  -8.30110  1050.33  4810.74 4.20 4.00  70.0 -0.386 18.78 20.71 02a57804o0249c
