Results from heasarc_swiftxrlog: Swift XRT Instrument Log
Coordinate system:  Equatorial
|target_id|obsid      |ra         |dec        |start_time           |exposure  |window_size|operation_mode|pointing_mode|flipflop|
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 13:14:02.4|  10.67473|200        |WINDOWED      |settling     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 13:14:15.6| 337.13264|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 17:57:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|  2022-10-22 17:58:38|  91.64252|200        |WINDOWED      |slewing      |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 18:00:09.6|  11.74219|200        |WINDOWED      |settling     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 18:00:23.2| 329.64044|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367007|03 20 10.38|+08 45 27.8|2022-10-24 09:22:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367007|03 20 10.38|+08 45 27.8|2022-10-24 09:23:38.2| 103.38545|200        |WINDOWED      |slewing      |N       |
|    15367|00015367007|03 20 10.38|+08 45 27.8|2022-10-24 09:25:21.6|  11.74229|200        |WINDOWED      |settling     |N       |
|    15367|00015367007|03 20 10.38|+08 45 27.8|2022-10-24 09:25:35.4| 496.96138|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367007|03 20 10.38|+08 45 27.8|2022-10-24 20:29:29.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367007|03 20 10.38|+08 45 27.8|2022-10-24 20:30:11.2| 102.31785|200        |WINDOWED      |slewing      |N       |
|    15367|00015367007|03 20 10.38|+08 45 27.8|2022-10-24 20:31:53.5|  11.74225|200        |WINDOWED      |settling     |N       |
|    15367|00015367007|03 20 10.38|+08 45 27.8|2022-10-24 20:32:07.6| 344.62565|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367007|03 20 10.38|+08 45 27.8|2022-10-24 23:53:27.3|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367007|03 20 10.38|+08 45 27.8|  2022-10-24 23:54:09| 126.86969|200        |WINDOWED      |slewing      |N       |
|    15367|00015367007|03 20 10.38|+08 45 27.8|2022-10-24 23:56:15.9|  10.67475|200        |WINDOWED      |settling     |N       |
|    15367|00015367007|03 20 10.38|+08 45 27.8|2022-10-24 23:56:29.4|  202.2802|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|  2022-10-26 01:24:09|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 01:24:49.6| 150.35405|200        |WINDOWED      |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 01:27:19.9|  11.74225|200        |WINDOWED      |settling     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 01:27:33.4|  79.91305|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 14:12:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 14:13:38.2| 127.93691|200        |WINDOWED      |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 14:15:46.1|  12.80967|200        |WINDOWED      |settling     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 14:16:01.2| 349.61948|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 15:50:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 15:51:38.2|  86.30528|200        |WINDOWED      |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 15:53:04.5|  10.67475|200        |WINDOWED      |settling     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 15:53:17.2| 274.70083|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 17:13:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 17:14:38.2| 122.59976|200        |WINDOWED      |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 17:16:40.8|   9.60733|200        |WINDOWED      |settling     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 17:16:53.2| 956.45939|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 20:29:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 20:30:38.2| 124.73455|200        |WINDOWED      |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 20:32:42.9|  10.67475|200        |WINDOWED      |settling     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 20:32:55.4| 357.11139|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 21:54:35.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 21:55:17.2| 118.32988|200        |WINDOWED      |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 21:57:15.5|  10.67477|200        |WINDOWED      |settling     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 21:57:28.7| 382.08483|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 23:40:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 23:41:38.2| 169.56848|200        |WINDOWED      |slewing      |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 23:44:27.7|  12.80971|200        |WINDOWED      |settling     |N       |
|    15367|00015367008|03 20 25.23|+08 42 15.0|2022-10-26 23:44:42.2| 369.59753|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|2022-11-06 01:19:10.5|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|  2022-11-06 01:19:52|   83.1031|200        |WINDOWED      |slewing      |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|2022-11-06 01:21:15.9|  10.67477|200        |WINDOWED      |settling     |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|2022-11-06 01:21:27.8| 741.69323|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|2022-11-06 07:42:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|2022-11-06 07:43:38.2|  48.94375|200        |WINDOWED      |slewing      |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|2022-11-06 07:44:27.1|  10.67481|200        |WINDOWED      |settling     |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|2022-11-06 07:44:40.1| 1148.7496|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|2022-11-06 13:49:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|2022-11-06 13:50:38.2| 109.79008|200        |WINDOWED      |slewing      |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|  2022-11-06 13:52:28|  14.94469|200        |WINDOWED      |settling     |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|2022-11-06 13:52:45.2|1263.62601|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|2022-11-06 15:37:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|2022-11-06 15:38:38.2|  82.03548|200        |WINDOWED      |slewing      |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|2022-11-06 15:40:00.2|  10.67475|200        |WINDOWED      |settling     |N       |
|    15367|00015367009|03 20 22.17|+08 41 43.9|  2022-11-06 15:40:13|1236.15235|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367010|03 20 00.38|+08 46 23.7|2022-11-16 01:38:56.5|  12.48625|           |BIASIMA       |slewing      |N       |
