Start Date,dt_rest,t_exp,Filter,fnu,e_fnu,Instrument,Flare?
(UT),(days),(sec.),,(uJy),(uJy),,
2022-12-19 01:58:22,102.60904,20,g,-0.32,0.89,GTC/ULTRACAM,  
2022-12-19 01:58:22,102.60904,20,i,-0.11,2.18,GTC/ULTRACAM,  
2022-12-19 01:58:22,102.60904,20,u,0.99,2.05,GTC/ULTRACAM,  
2022-12-19 01:58:42,102.60927,20,u,-0.73,1.98,GTC/ULTRACAM,  
2022-12-19 01:58:42,102.60927,20,g,1.10,0.92,GTC/ULTRACAM,  
2022-12-19 01:58:42,102.60927,20,i,6.26,2.37,GTC/ULTRACAM,  
2022-12-19 01:59:02,102.60950,20,u,-2.14,2.00,GTC/ULTRACAM,  
2022-12-19 01:59:02,102.60950,20,g,-0.05,0.99,GTC/ULTRACAM,  
2022-12-19 01:59:02,102.60950,20,i,-3.48,2.32,GTC/ULTRACAM,  
2022-12-19 01:59:22,102.60973,20,u,3.25,2.34,GTC/ULTRACAM,  
2022-12-19 01:59:22,102.60973,20,g,0.56,0.92,GTC/ULTRACAM,  
2022-12-19 01:59:22,102.60973,20,i,-0.75,2.32,GTC/ULTRACAM,  
2022-12-19 01:59:42,102.60996,20,g,0.89,0.92,GTC/ULTRACAM,  
2022-12-19 01:59:42,102.60996,20,i,2.87,2.39,GTC/ULTRACAM,  
2022-12-19 01:59:42,102.60996,20,u,3.43,2.13,GTC/ULTRACAM,  
2022-12-19 02:00:03,102.61020,20,u,0.42,2.28,GTC/ULTRACAM,  
2022-12-19 02:00:03,102.61020,20,i,1.01,2.24,GTC/ULTRACAM,  
2022-12-19 02:00:03,102.61020,20,g,0.58,1.07,GTC/ULTRACAM,  
2022-12-19 02:00:23,102.61043,20,u,-4.12,2.31,GTC/ULTRACAM,  
2022-12-19 02:00:23,102.61043,20,i,2.04,2.31,GTC/ULTRACAM,  
2022-12-19 02:00:23,102.61043,20,g,0.62,0.99,GTC/ULTRACAM,  
2022-12-19 02:00:42,102.61066,20,i,2.98,2.31,GTC/ULTRACAM,  
2022-12-19 02:00:42,102.61066,20,g,0.33,0.93,GTC/ULTRACAM,  
2022-12-19 02:00:42,102.61066,20,u,1.41,2.16,GTC/ULTRACAM,  
2022-12-19 02:01:02,102.61089,20,i,0.75,2.54,GTC/ULTRACAM,  
2022-12-19 02:01:02,102.61089,20,g,0.85,1.04,GTC/ULTRACAM,  
2022-12-19 02:01:02,102.61089,20,u,-1.10,2.61,GTC/ULTRACAM,  
2022-12-19 02:01:22,102.61112,20,i,-2.14,2.68,GTC/ULTRACAM,  
2022-12-19 02:01:22,102.61112,20,u,6.60,2.23,GTC/ULTRACAM,  
2022-12-19 02:01:22,102.61112,20,g,-0.08,1.04,GTC/ULTRACAM,  
2022-12-19 02:01:42,102.61135,20,u,3.15,2.22,GTC/ULTRACAM,  
2022-12-19 02:01:42,102.61135,20,g,1.48,0.93,GTC/ULTRACAM,  
2022-12-19 02:01:42,102.61135,20,i,-2.26,2.20,GTC/ULTRACAM,  
2022-12-19 02:02:03,102.61159,20,u,5.24,2.26,GTC/ULTRACAM,  
2022-12-19 02:02:03,102.61159,20,g,1.52,0.94,GTC/ULTRACAM,  
2022-12-19 02:02:03,102.61159,20,i,4.04,2.30,GTC/ULTRACAM,  
2022-12-19 02:02:23,102.61182,20,u,-0.97,2.23,GTC/ULTRACAM,  
2022-12-19 02:02:23,102.61182,20,g,1.41,0.97,GTC/ULTRACAM,  
2022-12-19 02:02:23,102.61182,20,i,2.31,2.27,GTC/ULTRACAM,  
2022-12-19 02:02:43,102.61205,20,g,0.06,1.04,GTC/ULTRACAM,  
2022-12-19 02:02:43,102.61205,20,i,3.61,2.33,GTC/ULTRACAM,  
2022-12-19 02:02:43,102.61205,20,u,1.63,2.15,GTC/ULTRACAM,  
2022-12-19 02:03:02,102.61228,20,i,-1.00,2.24,GTC/ULTRACAM,  
2022-12-19 02:03:02,102.61228,20,g,0.53,1.01,GTC/ULTRACAM,  
2022-12-19 02:03:02,102.61228,20,u,3.06,2.31,GTC/ULTRACAM,  
2022-12-19 02:03:22,102.61251,20,i,-3.03,2.25,GTC/ULTRACAM,  
2022-12-19 02:03:22,102.61251,20,u,2.87,2.20,GTC/ULTRACAM,  
2022-12-19 02:03:22,102.61251,20,g,0.56,0.93,GTC/ULTRACAM,  
2022-12-19 02:03:42,102.61274,20,i,4.47,2.04,GTC/ULTRACAM,  
2022-12-19 02:03:42,102.61274,20,g,2.22,0.99,GTC/ULTRACAM,  
2022-12-19 02:03:42,102.61274,20,u,-2.01,2.00,GTC/ULTRACAM,  
2022-12-19 02:04:02,102.61297,20,i,3.99,2.04,GTC/ULTRACAM,  
2022-12-19 02:04:02,102.61297,20,g,0.16,0.90,GTC/ULTRACAM,  
2022-12-19 02:04:02,102.61297,20,u,0.73,1.96,GTC/ULTRACAM,  
2022-12-19 02:04:23,102.61321,20,u,2.46,2.24,GTC/ULTRACAM,  
2022-12-19 02:04:23,102.61321,20,g,0.42,0.85,GTC/ULTRACAM,  
2022-12-19 02:04:23,102.61321,20,i,4.17,2.19,GTC/ULTRACAM,  
2022-12-19 02:04:43,102.61344,20,u,0.88,2.24,GTC/ULTRACAM,  
2022-12-19 02:04:43,102.61344,20,g,2.11,0.94,GTC/ULTRACAM,  
2022-12-19 02:04:43,102.61344,20,i,2.31,2.03,GTC/ULTRACAM,  
